lon0,lat0,lon1,lon0,distance
41.9846,-71.5335,41.7528,-71.4717,35117
41.7811,-71.3959,41.686,-71.284,29207
41.7811,-71.3959,41.7528,-71.4717,12303
41.797,-71.4446,41.686,-71.284,32097
41.797,-71.4446,41.7528,-71.4717,10709
41.7934,-71.462,41.686,-71.284,34284
41.7934,-71.462,41.7528,-71.4717,5522
41.8901,-71.3759,41.686,-71.284,36201
41.8901,-71.3759,41.7528,-71.4717,23653
41.883,-71.3465,41.686,-71.284,29706
41.883,-71.3465,41.7528,-71.4717,25757
41.8702,-71.3449,41.686,-71.284,29333
41.8702,-71.3449,41.7528,-71.4717,26047
41.9906,-71.5233,41.686,-71.284,48193
41.9906,-71.5233,41.7528,-71.4717,34239
42.0141,-71.5041,41.686,-71.284,50404
42.0141,-71.5041,41.7528,-71.4717,36444
41.6347,-71.4325,41.686,-71.284,50925
41.6347,-71.4325,41.7528,-71.4717,18457
41.3838,-71.8265,41.686,-71.284,91412
41.3838,-71.8265,41.7528,-71.4717,58944
41.4522,-71.507,41.686,-71.284,53093
41.4522,-71.507,41.7528,-71.4717,41185
41.4913,-71.5311,41.686,-71.284,51766
41.4913,-71.5311,41.7528,-71.4717,36662
41.606,-71.4092,41.686,-71.284,56414
41.606,-71.4092,41.7528,-71.4717,23946
41.7261,-71.3081,41.686,-71.284,9846
41.7261,-71.3081,41.7528,-71.4717,29688
41.7313,-71.2811,41.686,-71.284,6595
41.7313,-71.2811,41.7528,-71.4717,32420
41.7305,-71.2569,41.686,-71.284,8174
41.7305,-71.2569,41.7528,-71.4717,32714
41.6724,-71.274,41.686,-71.284,3307
41.6724,-71.274,41.7528,-71.4717,39363
41.6627,-71.2582,41.686,-71.284,5987
41.6627,-71.2582,41.7528,-71.4717,39474
41.6937,-71.253,41.686,-71.284,4236
41.6937,-71.253,41.7528,-71.4717,37014
41.686,-71.284,41.7528,-71.4717,0
41.686,-71.284,41.7528,-71.4717,37536
41.686,-71.284,41.6895,-71.5145,44995
41.6895,-71.5145,41.7528,-71.4717,9671
41.686,-71.284,41.7026,-71.5205,45698
41.7026,-71.5205,41.7528,-71.4717,9341
41.686,-71.284,41.7091,-71.5283,44332
41.7091,-71.5283,41.7528,-71.4717,9087
41.686,-71.284,41.7231,-71.5029,41827
41.7231,-71.5029,41.7528,-71.4717,5977
41.686,-71.284,41.716,-71.5539,46933
41.716,-71.5539,41.7528,-71.4717,11083
41.686,-71.284,41.6913,-71.5741,59745
41.6913,-71.5741,41.7528,-71.4717,27277
41.686,-71.284,41.6714,-71.5581,51234
41.6714,-71.5581,41.7528,-71.4717,18766
41.686,-71.284,41.6945,-71.5446,47577
41.6945,-71.5446,41.7528,-71.4717,12007
41.686,-71.284,41.6907,-71.6576,62416
41.6907,-71.6576,41.7528,-71.4717,29948
41.686,-71.284,41.7027,-71.6044,59791
41.7027,-71.6044,41.7528,-71.4717,16802
41.686,-71.284,41.6292,-71.667,62094
41.6292,-71.667,41.7528,-71.4717,29627
41.686,-71.284,41.6328,-71.5175,51396
41.6328,-71.5175,41.7528,-71.4717,18928
